,"美国iShares安硕MSCI英国指数ETF - 指数GARCH模型波动率预测"
2000-03-28,0.24740164591206745
2000-03-29,0.2551339624589404
2000-03-30,0.29657170937228655
2000-03-31,0.2905662045042403
2000-04-03,0.27617419285661
2000-04-04,0.26399306581802484
2000-04-05,0.2577125026070718
2000-04-06,0.24224197324163294
2000-04-07,0.23726367863623796
2000-04-10,0.23406346831575406
2000-04-11,0.2561154450633542
2000-04-12,0.2639699642004749
2000-04-13,0.2515107250198289
2000-04-14,0.39414379507991754
2000-04-17,0.3649297318662868
2000-04-18,0.34996860259171825
2000-04-19,0.3339996832333827
2000-04-20,0.314019473918418
2000-04-24,0.3245595057920812
2000-04-25,0.32231713513246546
2000-04-26,0.3368877272920461
2000-04-27,0.3255612716525109
2000-04-28,0.306331032708082
2000-05-01,0.2977464861253613
2000-05-02,0.2771460856660256
2000-05-03,0.3270680296207503
2000-05-04,0.30389770778997327
2000-05-05,0.2863974161894622
2000-05-08,0.2863748019641393
2000-05-09,0.2790754285135114
2000-05-10,0.2935545053307818
2000-05-11,0.28176446546717
2000-05-12,0.2733765403248786
2000-05-15,0.26090071214927724
