,"美国iShares安硕MSCI德国指数ETF - 指数GARCH模型波动率预测"
2012-12-05,0.14779045760806075
2012-12-06,0.1422622521964277
2012-12-07,0.14527004054518605
2012-12-10,0.13893972909143015
2012-12-11,0.13881677593144137
2012-12-12,0.1356176683179592
2012-12-13,0.13581982535697798
2012-12-14,0.1338359037030049
2012-12-17,0.12971228330424225
2012-12-18,0.12953311468501016
2012-12-19,0.12475147421974621
2012-12-20,0.12165676405362753
2012-12-21,0.1279883710342467
2012-12-24,0.12861132049706978
2012-12-26,0.12338807803025378
2012-12-27,0.11972219794173511
2012-12-28,0.14289725511709456
2012-12-31,0.1466167002766056
2013-01-02,0.14617271496418202
2013-01-03,0.1698702893386598
2013-01-04,0.16412513884228705
2013-01-07,0.16053633233632816
2013-01-08,0.16579211682103584
2013-01-09,0.1572583986946325
2013-01-10,0.15881824328457989
2013-01-11,0.15480490922448165
2013-01-14,0.1498609959929534
2013-01-15,0.1644568368904133
2013-01-16,0.1630774061603875
2013-01-17,0.16285171660133033
2013-01-18,0.16230572263478574
2013-01-22,0.1552208453784478
2013-01-23,0.1479752875313983
2013-01-24,0.14493182259255558
2013-01-25,0.1515303890313755
2013-01-28,0.15238774320791026
2013-01-29,0.14754382833585417
2013-01-30,0.14210970804276532
2013-01-31,0.1399797235316601
2013-02-01,0.14182706793838756
2013-02-04,0.22014119378253585
2013-02-05,0.2119642139607533
2013-02-06,0.22127065327331594
2013-02-07,0.22156292379367087
2013-02-08,0.2109983071022135
2013-02-11,0.20031572179936352
2013-02-12,0.1936957335616869
2013-02-13,0.18729114127475438
2013-02-14,0.20596456685556377
2013-02-15,0.2029244618078363
2013-02-19,0.20376858639152406
2013-02-20,0.2189135500602921
2013-02-21,0.2430594001473714
2013-02-22,0.23414527797929213
2013-02-25,0.2560038921579123
2013-02-26,0.24158951384528263
2013-02-27,0.23618259038294928
2013-02-28,0.22712515580622064
2013-03-01,0.2271572186834484
2013-03-04,0.21522355447301766
2013-03-05,0.21186539500352577
2013-03-06,0.2048339366413681
2013-03-07,0.19851318041883265
2013-03-08,0.19091384339539133
2013-03-11,0.18147819042518581
2013-03-12,0.17658154943254975
2013-03-13,0.17419066450300946
2013-03-14,0.171814690873627
2013-03-15,0.16353224269238162
