,"iShares Russell 2000 ETF - EGARCH Volatility"
2023-03-09,0.24901340204896602
2023-03-10,0.29338865008721793
2023-03-13,0.3072226690854697
2023-03-14,0.29265743455446336
2023-03-15,0.30694074216369516
2023-03-16,0.29161678346761866
2023-03-17,0.32763942070514046
2023-03-20,0.310551671062965
2023-03-21,0.29571114892746264
2023-03-22,0.3342579967629795
2023-03-23,0.32239144033302125
2023-03-24,0.30509639525894106
2023-03-27,0.2895100288418348
2023-03-28,0.2758820030375305
2023-03-29,0.2626127757745232
2023-03-30,0.2509267646146979
2023-03-31,0.24068769474154678
2023-04-03,0.22830406829489483
2023-04-04,0.25026140253742685
2023-04-05,0.2550649611373542
2023-04-06,0.24178167920667606
2023-04-10,0.2309811265017123
2023-04-11,0.22052222745111205
2023-04-12,0.22292178628388928
2023-04-13,0.2139168717048751
2023-04-14,0.22059603622912177
2023-04-17,0.2116954756247757
2023-04-18,0.20899879329795185
2023-04-19,0.199044553806428
2023-04-20,0.1989424841505705
2023-04-21,0.18969538739779626
2023-04-24,0.18207257783642214
2023-04-25,0.22416738745856854
2023-04-26,0.23070313651964075
2023-04-27,0.22114995636445423
2023-04-28,0.21154162143653907
2023-05-01,0.2012895109040707
2023-05-02,0.2320479502171911
2023-05-03,0.2208218222911857
2023-05-04,0.23062851948534036
2023-05-05,0.22276657918098935
2023-05-08,0.2157022614624149
2023-05-09,0.2104028136693994
2023-05-10,0.20096487454279166
2023-05-11,0.2054767870101146
2023-05-12,0.19916580429380942
2023-05-15,0.19168446885441712
2023-05-16,0.21065549696127087
2023-05-17,0.2040011382321187
2023-05-18,0.19517964033166987
2023-05-19,0.1971022009009539
2023-05-22,0.18976365721602229
2023-05-23,0.1894894329507585
2023-05-24,0.2005383295033645
2023-05-25,0.20532164815235632
2023-05-26,0.1972694248990451
2023-05-30,0.19458171137082744
2023-05-31,0.2037802728430797
2023-06-01,0.19574697239037953
2023-06-02,0.19242260989810944
2023-06-05,0.20890146672534396
2023-06-06,0.20303042530615947
2023-06-07,0.19632716979572645
2023-06-08,0.1937875630684281
2023-06-09,0.1996297472823126
2023-06-12,0.19080161320072742
2023-06-13,0.18377977473051818
2023-06-14,0.1955782533923442
2023-06-15,0.1876975119707238
2023-06-16,0.193808433253045
2023-06-20,0.19258872864215082
2023-06-21,0.1877337582855039
2023-06-22,0.19270972575352807
2023-06-23,0.21256096443138378
2023-06-26,0.2023052663674379
2023-06-27,0.19496636017528768
2023-06-28,0.18658524057384604
2023-06-29,0.17986013566101858
2023-06-30,0.17249163110133778
2023-07-03,0.16516782737567265
2023-07-05,0.1767981221619732
2023-07-06,0.20030408483103884
2023-07-07,0.1924726962454675
2023-07-10,0.18625601413108786
2023-07-11,0.17935138137187567
2023-07-12,0.17302121257233172
2023-07-13,0.1666536804274061
2023-07-14,0.17778924376913247
2023-07-17,0.1715312379713969
2023-07-18,0.1659624186374735
2023-07-19,0.1594329388802703
2023-07-20,0.16904152152651727
2023-07-21,0.16736324327641358
2023-07-24,0.16045154408730383
2023-07-25,0.15376463286464803
2023-07-26,0.1486313394947378
2023-07-27,0.16765629842030985
2023-07-28,0.16244376996364004
2023-07-31,0.15735542964893204
2023-08-01,0.1590725494860757
2023-08-02,0.1786623496990902
2023-08-03,0.17566676179630566
2023-08-04,0.17138992385785112
2023-08-07,0.163916650771055
2023-08-08,0.1684069820405318
2023-08-09,0.17556846869526432
2023-08-10,0.17577410389474327
