,"iShares MSCI Hong Kong ETF - GARCH Volatility"
2022-04-25,0.19160110124944482
2022-04-26,0.1934066937828161
2022-04-27,0.193233453625401
2022-04-28,0.1894291128628332
2022-04-29,0.18549571315801344
2022-05-02,0.1788939417643873
2022-05-03,0.18806113474080707
2022-05-04,0.1827592317777682
2022-05-05,0.21322093893424257
2022-05-06,0.21640162661126186
2022-05-09,0.22601904433033956
2022-05-10,0.2197574353690905
2022-05-11,0.21209168300525127
2022-05-12,0.20515294197256836
2022-05-13,0.2197553712654141
2022-05-16,0.21093260914329962
2022-05-17,0.2256297028318745
2022-05-18,0.2211083607645808
2022-05-19,0.21497817470617805
2022-05-20,0.2120887125709428
2022-05-23,0.2036447553952716
2022-05-24,0.2045805298653809
2022-05-25,0.19666369059895117
2022-05-26,0.19429301685855827
2022-05-27,0.20414740556764369
2022-05-31,0.19632774740214384
2022-06-01,0.18971690699566027
2022-06-02,0.1898387389338646
2022-06-03,0.18644628073522948
2022-06-06,0.18735329300548734
2022-06-07,0.18050243876468816
2022-06-08,0.17624007035858785
2022-06-09,0.1776156682277777
2022-06-10,0.1749826631412381
2022-06-13,0.18956242982194546
2022-06-14,0.1826100468210881
2022-06-15,0.17777074562480746
2022-06-16,0.19346329884502642
2022-06-17,0.18640613401924305
2022-06-21,0.1949927260181774
2022-06-22,0.19350582316819306
2022-06-23,0.18622421647036133
2022-06-24,0.19554661848265237
2022-06-27,0.2055974309178011
2022-06-28,0.20002031096866138
2022-06-29,0.19265767360787892
2022-06-30,0.18699799678071422
2022-07-01,0.18016664286154638
2022-07-05,0.18129535901395824
2022-07-06,0.17869993508672574
2022-07-07,0.18645810682295366
2022-07-08,0.17976904182867529
2022-07-11,0.20653875568522242
2022-07-12,0.1985877458455078
2022-07-13,0.19109188993779933
2022-07-14,0.18830257990797683
2022-07-15,0.18449046804645491
2022-07-18,0.18183360085528746
2022-07-19,0.1776836154517349
2022-07-20,0.17185516692843425
2022-07-21,0.17434365718316222
2022-07-22,0.17122443166791357
2022-07-25,0.17316570676666904
2022-07-26,0.16718999730845144
2022-07-27,0.16543308979765808
2022-07-28,0.1598164847567359
2022-07-29,0.16291452973875598
2022-08-01,0.1611411120726179
2022-08-02,0.1709964525947834
2022-08-03,0.16546530391595696
2022-08-04,0.165675645766057
2022-08-05,0.16016662573707421
2022-08-08,0.15488095208901576
2022-08-09,0.15109204479389376
